threshold,precision,recall,f1,accuracy,auc
0.0,0.58,1.0,0.74,0.58,0.89
0.06,0.64,0.99,0.78,0.66,0.89
0.11,0.69,0.99,0.81,0.73,0.89
0.17,0.72,0.97,0.83,0.76,0.89
0.22,0.75,0.96,0.84,0.79,0.89
0.28,0.77,0.94,0.85,0.8,0.89
0.33,0.77,0.94,0.85,0.8,0.89
0.39,0.79,0.92,0.85,0.81,0.89
0.44,0.81,0.9,0.86,0.82,0.89
0.5,0.84,0.88,0.86,0.83,0.89
0.56,0.86,0.85,0.85,0.83,0.89
0.61,0.88,0.79,0.83,0.81,0.89
0.67,0.88,0.79,0.83,0.81,0.89
0.72,0.89,0.75,0.81,0.8,0.89
0.78,0.9,0.71,0.79,0.78,0.89
0.83,0.91,0.62,0.74,0.74,0.89
0.89,0.92,0.5,0.65,0.68,0.89
0.94,0.95,0.27,0.42,0.56,0.89
1.0,0.95,0.27,0.42,0.56,0.89
