threshold,precision,recall,f1,accuracy,auc
0.0,0.58,1.0,0.74,0.58,0.91
0.06,0.66,1.0,0.8,0.7,0.91
0.11,0.71,0.99,0.83,0.76,0.91
0.17,0.74,0.98,0.85,0.79,0.91
0.22,0.77,0.96,0.86,0.81,0.91
0.28,0.79,0.95,0.86,0.82,0.91
0.33,0.81,0.93,0.87,0.84,0.91
0.39,0.83,0.92,0.87,0.84,0.91
0.44,0.84,0.9,0.87,0.84,0.91
0.5,0.85,0.88,0.86,0.84,0.91
0.56,0.87,0.86,0.87,0.84,0.91
0.61,0.89,0.83,0.86,0.84,0.91
0.67,0.9,0.81,0.85,0.84,0.91
0.72,0.92,0.77,0.84,0.83,0.91
0.78,0.92,0.71,0.8,0.8,0.91
0.83,0.93,0.65,0.77,0.77,0.91
0.89,0.94,0.53,0.68,0.71,0.91
0.94,0.96,0.36,0.52,0.61,0.91
1.0,0.0,0.0,0.0,0.42,0.91
