threshold,precision,recall,f1,accuracy,auc
0.0,0.43,1.0,0.6,0.43,0.81
0.05,0.44,0.98,0.61,0.45,0.81
0.1,0.47,0.98,0.64,0.52,0.81
0.15,0.52,0.96,0.67,0.6,0.81
0.2,0.52,0.96,0.67,0.6,0.81
0.25,0.56,0.9,0.69,0.65,0.81
0.3,0.62,0.82,0.71,0.71,0.81
0.35,0.63,0.69,0.66,0.69,0.81
0.4,0.63,0.69,0.66,0.69,0.81
0.45,0.71,0.63,0.67,0.73,0.81
0.5,0.78,0.57,0.66,0.75,0.81
0.55,0.8,0.52,0.63,0.73,0.81
0.6,0.8,0.52,0.63,0.73,0.81
0.65,0.84,0.46,0.6,0.73,0.81
0.7,0.91,0.43,0.58,0.73,0.81
0.75,0.92,0.39,0.54,0.72,0.81
0.8,0.92,0.39,0.54,0.72,0.81
0.85,0.95,0.32,0.47,0.7,0.81
0.9,1.0,0.25,0.39,0.67,0.81
0.95,1.0,0.14,0.25,0.63,0.81
1.0,1.0,0.14,0.25,0.63,0.81
