threshold,precision,recall,f1,accuracy,auc
0.0,0.43,1.0,0.6,0.43,0.81
0.05,0.43,1.0,0.6,0.43,0.81
0.1,0.43,1.0,0.6,0.43,0.81
0.15,0.43,1.0,0.6,0.43,0.81
0.2,0.44,0.99,0.61,0.44,0.81
0.25,0.48,0.96,0.64,0.53,0.81
0.3,0.49,0.96,0.65,0.56,0.81
0.35,0.61,0.89,0.72,0.71,0.81
0.4,0.61,0.89,0.72,0.71,0.81
0.45,0.69,0.61,0.65,0.71,0.81
0.5,0.69,0.61,0.65,0.71,0.81
0.55,0.75,0.56,0.64,0.73,0.81
0.6,0.75,0.56,0.64,0.73,0.81
0.65,0.89,0.5,0.64,0.76,0.81
0.7,0.91,0.46,0.61,0.75,0.81
0.75,0.9,0.4,0.56,0.72,0.81
0.8,0.9,0.39,0.54,0.71,0.81
0.85,0.95,0.18,0.31,0.64,0.81
0.9,0.0,0.0,0.0,0.57,0.81
0.95,0.0,0.0,0.0,0.57,0.81
1.0,0.0,0.0,0.0,0.57,0.81
